strategy,month,wealth,global_continuous_action_gap,best_fraction,saved_fraction
dTCMV,468,30.0,1.3800059051050084e-06,0.7201300754281813,0.71875
dTCMV,468,50.0,8.66946788136147e-06,0.6991315100458529,0.703125
dTCMV,468,75.0,1.9814278786611794e-05,0.6909264060142088,0.6875
dTCMV,468,100.0,3.617652983223252e-05,0.686713543615197,0.6875
dTCMV,468,150.0,4.321181972954946e-05,0.702442967760694,0.703125
dTCMV,468,250.0,0.00020434744840258645,0.7159277756923249,0.71875
dTCMV,468,400.0,0.0005526984049879502,0.7528650402318313,0.75
dTCMV,468,550.0,0.0004951006686724213,0.4606976080271959,0.453125
dTCMV,479,5.0,3.846535761908854e-06,0.8415370667257547,0.84375
dTCMV,479,15.0,1.6346131310740475e-06,0.8114149345834435,0.796875
dTCMV,479,30.0,2.7832196934696185e-05,0.7587012033344045,0.765625
dTCMV,479,50.0,3.873478206628533e-06,0.7587377489129958,0.765625
dTCMV,479,75.0,9.461988810244293e-06,0.7632195231557509,0.765625
dTCMV,479,100.0,1.703489824933513e-05,0.7579481500308471,0.765625
dTCMV,479,150.0,1.187575551853115e-05,0.7620492066278384,0.765625
dTCMV,479,250.0,1.913863769686941e-05,0.7593036459772502,0.765625
dTCMV,479,400.0,2.3624219409157377e-05,0.7596425199638505,0.765625
dTCMV,479,550.0,0.001617987131226073,0.5896964427296258,0.59375
